Created_Date,Max TempF
"Sat
8/6/2016",84°
"Sun
8/7/2016",84°
"Mon
8/8/2016",84°
"Tue
8/9/2016",84°
"Wed
8/10/2016",83°
"Thu
8/11/2016",83°
"Fri
8/12/2016",83°
"Sat
8/13/2016",83°
"Sun
8/14/2016",83°
"Mon
8/15/2016",83°
"Tue
8/16/2016",83°
"Wed
8/17/2016",83°
"Thu
8/18/2016",83°
"Fri
8/19/2016",82°
"Sat
8/20/2016",82°
"Sun
8/21/2016",82°
"Mon
8/22/2016",82°
"Tue
8/23/2016",82°
"Wed
8/24/2016",82°
"Thu
8/25/2016",82°
"Fri
8/26/2016",81°
"Sat
8/27/2016",81°
"Sun
8/28/2016",81°
"Mon
8/29/2016",81°
"Tue
8/30/2016",80°
"Wed
8/31/2016",80°
"Thu
9/1/2016",80°
"Fri
9/2/2016",80°
"Sat
9/3/2016",80°
"Sun
9/4/2016",79°
"Mon
9/5/2016",79°
"Tue
9/6/2016",79°
"Wed
9/7/2016",78°
"Thu
9/8/2016",78°
"Fri
9/9/2016",78°
"Sat
9/10/2016",77°
"Sun
9/11/2016",77°
"Mon
9/12/2016",77°
"Tue
9/13/2016",76°
"Wed
9/14/2016",76°
"Thu
9/15/2016",76°
"Fri
9/16/2016",75°
"Sat
9/17/2016",75°
"Sun
9/18/2016",74°
"Mon
9/19/2016",74°
"Tue
9/20/2016",74°
"Wed
9/21/2016",73°
"Thu
9/22/2016",73°
"Fri
9/23/2016",72°
"Sat
9/24/2016",72°
"Sun
9/25/2016",72°
"Mon
9/26/2016",71°
"Tue
9/27/2016",71°
"Wed
9/28/2016",70°
"Thu
9/29/2016",70°
"Fri
9/30/2016",70°
"Sat
10/1/2016",69°
"Sun
10/2/2016",69°
"Mon
10/3/2016",68°
"Tue
10/4/2016",68°
"Wed
10/5/2016",68°
"Thu
10/6/2016",67°
"Fri
10/7/2016",67°
"Sat
10/8/2016",66°
"Sun
10/9/2016",66°
"Mon
10/10/2016",66°
"Tue
10/11/2016",65°
"Wed
10/12/2016",65°
"Thu
10/13/2016",65°
"Fri
10/14/2016",64°
"Sat
10/15/2016",64°
"Sun
10/16/2016",64°
"Mon
10/17/2016",63°
"Tue
10/18/2016",63°
"Wed
10/19/2016",63°
"Thu
10/20/2016",62°
"Fri
10/21/2016",62°
"Sat
10/22/2016",62°
"Sun
10/23/2016",61°
"Mon
10/24/2016",61°
"Tue
10/25/2016",61°
"Wed
10/26/2016",60°
"Thu
10/27/2016",60°
"Fri
10/28/2016",60°
"Sat
10/29/2016",60°
"Sun
10/30/2016",59°
"Mon
10/31/2016",59°
"Tue
11/1/2016",59°
"Wed
11/2/2016",58°
"Thu
11/3/2016",58°
"Fri
11/4/2016",58°
"Sat
11/5/2016",57°
"Sun
11/6/2016",57°
"Mon
11/7/2016",57°
"Tue
11/8/2016",56°
"Wed
11/9/2016",56°
"Thu
11/10/2016",56°
"Fri
11/11/2016",56°
"Sat
11/12/2016",55°
"Sun
11/13/2016",55°
"Mon
11/14/2016",54°
"Tue
11/15/2016",54°
"Wed
11/16/2016",54°
"Thu
11/17/2016",53°
"Fri
11/18/2016",53°
"Sat
11/19/2016",53°
"Sun
11/20/2016",52°
"Mon
11/21/2016",52°
"Tue
11/22/2016",52°
"Wed
11/23/2016",51°
"Thu
11/24/2016",51°
"Fri
11/25/2016",50°
"Sat
11/26/2016",50°
"Sun
11/27/2016",50°
"Mon
11/28/2016",49°
"Tue
11/29/2016",49°
"Wed
11/30/2016",48°
"Thu
12/1/2016",48°
"Fri
12/2/2016",48°
"Sat
12/3/2016",47°
"Sun
12/4/2016",47°
"Mon
12/5/2016",46°
"Tue
12/6/2016",46°
"Wed
12/7/2016",46°
"Thu
12/8/2016",45°
"Fri
12/9/2016",45°
"Sat
12/10/2016",45°
"Sun
12/11/2016",44°
"Mon
12/12/2016",44°
"Tue
12/13/2016",44°
"Wed
12/14/2016",43°
"Thu
12/15/2016",43°
"Fri
12/16/2016",43°
"Sat
12/17/2016",42°
"Sun
12/18/2016",42°
"Mon
12/19/2016",42°
"Tue
12/20/2016",42°
"Wed
12/21/2016",41°
"Thu
12/22/2016",41°
"Fri
12/23/2016",41°
"Sat
12/24/2016",40°
"Sun
12/25/2016",40°
"Mon
12/26/2016",40°
"Tue
12/27/2016",40°
"Wed
12/28/2016",40°
"Thu
12/29/2016",39°
"Fri
12/30/2016",39°
"Sat
12/31/2016",39°
