SERVICEORDERDATE,SERVICECODEDESCRIPTION,LATITUDE,LONGITUDE,ZIPCODE
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Parking Meter Repair,38.9042492779,-77.0385068048,
2015-08-14,Parking Meter Repair,38.90536115,-77.04386923,20036.0
2015-08-14,Parking Meter Repair,38.9036964279,-77.0668838214,
2015-08-14,DC Government Information,,,
2015-08-14,Bulk Collection,38.90560708,-76.93455506,20019.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Parking Enforcement,38.92106724,-76.96893284,20018.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Bulk Collection,38.96135296,-77.06186681,20015.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Container Removal,38.8892527,-76.98101431,20003.0
2015-08-14,Parking Meter Repair,38.897350973,-77.0425862159,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Bulk Collection,38.96750524,-77.00583256,20011.0
2015-08-14,DC Government Information,,,
2015-08-14,Bulk Collection,38.90583255,-76.97550243,20002.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Alleylight Repair,38.97788022,-77.02269174,20012.0
2015-08-14,Bulk Collection,38.96529274,-77.00718911,20011.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Parking Meter Repair,38.900277585,-77.0280705675,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Parking Enforcement,38.87625601,-77.00698987,20003.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Bulk Collection,38.93404433,-77.03145839,20010.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Alley Cleaning,38.91518428,-76.98188501,20002.0
2015-08-14,DC Government Information,,,
2015-08-14,TRU Report,38.89544481,-77.01572506,20001.0
2015-08-14,Parking Meter Repair,38.898548,-77.04515951,20052.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,DMV - Vehicle Title Issues,,,
2015-08-14,DC Government Information,,,
2015-08-14,Parking Meter Repair,38.9037310242,-77.0031749151,
2015-08-14,Bulk Collection,38.90175037,-76.99868598,20002.0
2015-08-14,DMV - Refunds - Tickets,38.91507205,-77.05037259,20008.0
2015-08-14,Parking Meter Repair,38.9011682057,-77.0199084777,
2015-08-14,DC Government Information,,,
2015-08-14,DMV - Drivers License/ID Issues,38.90784297,-77.06962181,20007.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Parking Meter Repair,38.904908695,-77.0240062317,
2015-08-14,Parking Meter Repair,38.91829739,-77.00978856,20001.0
2015-08-14,Parking Enforcement,38.93543992,-77.0300025,20010.0
2015-08-14,Bulk Collection,38.92471679,-76.97456184,20018.0
2015-08-14,DC Government Information,,,
2015-08-14,DC Government Information,,,
2015-08-14,Tree Removal,38.83225859,-77.00667955,20032.0
2015-08-14,Residential Parking Permit Violation,38.90547028,-76.999289,20002.0
2015-08-14,Emergency No-Parking Verification,38.82386807,-77.0117225,20032.0
2015-08-14,DC Government Information,,,
2015-08-14,Parking Meter Repair,38.9103842884,-77.0219169019,
2015-08-14,Dead Animal Collection,38.92555786,-77.07485564,20007.0
2015-08-14,Parking Meter Repair,38.8842733196,-77.0027791804,
2015-08-14,DC Government Information,,,
