SERVICEORDERDATE,SERVICECODEDESCRIPTION,LATITUDE,LONGITUDE,ZIPCODE
2015-04-02,Pothole,38.9435185625,-77.0157004864,20011.0
2015-04-02,Pothole,38.888496771,-76.9755124181,20003.0
2015-04-02,Street Cleaning,38.8948530162,-76.9350916143,20019.0
2015-04-02,Streetlight Repair Investigation,38.9368550731,-77.0609365442,20008.0
2015-04-02,DMV - Driver's License/ID Issues,38.8668058697,-76.9489363416,20020.0
2015-04-02,Parking Meter Repair,38.9019316337,-77.0449009605,
2015-04-02,Pothole,38.9204172152,-76.9954399863,20018.0
2015-04-02,Pothole,38.8912447454,-77.0328032516,20004.0
2015-04-02,Parking Meter Repair,38.8784090241,-77.0194005619,
2015-04-02,Alleylight Repair Investigation,38.9368550731,-77.0609365442,20008.0
2015-04-02,Tree Removal,38.9507897806,-77.0348453711,
2015-04-02,Parking Meter Repair,38.9072430147,-77.0523354843,
2015-04-02,Sidewalk Repair,38.9881199608,-77.0384780325,20012.0
2015-04-02,Light-Light Pole,38.9435185625,-77.0157004864,20011.0
2015-04-02,Parking Meter Repair,38.9152318945,-77.0674946949,
2015-04-02,Alley Cleaning,38.8924857978,-76.9486739349,20019.0
2015-04-02,Parking Meter Repair,38.9152318945,-77.0674946949,
2015-04-02,Bulk Collection,38.948447924,-77.0384993018,20011.0
2015-04-02,Pothole,38.8738135556,-76.9655962366,
2015-04-02,Parking Meter Repair,38.9046997262,-77.044902703,
2015-04-02,Recycling Collection - Missed,38.9305733574,-77.1030016508,20016.0
2015-04-02,Sidewalk Repair,38.9288040828,-77.0638005369,20008.0
2015-04-02,Tree Pruning,38.983016397,-77.0314159566,20012.0
2015-04-02,Parking Enforcement,38.9309497954,-76.9728309021,20018.0
2015-04-02,Sanitation Enforcement,38.9267299918,-77.0689070097,20007.0
2015-04-02,Yard Waste- Missed,38.9920702231,-77.0416762175,20012.0
2015-04-02,Bulk Collection,38.8250406392,-76.9979177755,20032.0
2015-04-02,Parking Meter Repair,38.8948108727,-77.0175528056,
2015-04-02,DMV - Driver Record Issues,38.8999748017,-76.9884995941,20002.0
2015-04-02,Parking Enforcement,38.9339399541,-77.0385843142,20010.0
2015-04-02,Parking Meter Repair,38.8983148287,-77.0405870845,
2015-04-02,Parking Meter Repair,38.8936264039,-77.0121784477,
2015-04-02,Parking Meter Repair,38.8961261324,-77.0144224847,
2015-04-02,Streetlight Repair Investigation,38.9616880972,-77.0636506703,20015.0
2015-04-02,Dead Animal Pickup,38.9448376399,-77.0372176099,20011.0
2015-04-02,Parking Meter Repair,38.8954634545,-77.0219167216,
2015-04-02,Bulk Collection,38.9416976427,-77.0056838394,20011.0
2015-04-02,Graffiti Removal,38.9245082667,-77.029931824,20009.0
2015-04-02,Parking Meter Repair,38.8881841289,-77.0175539651,
2015-04-02,Insects,38.8947831392,-76.9872042399,
2015-04-02,Curb and Gutter Repair,38.8883898254,-76.9276590991,
2015-04-02,Tree Pruning,38.847022506,-77.0032625918,20032.0
2015-04-02,Residential Parking Permit Violation,38.9335006922,-77.0591034086,
2015-04-02,DMV - Vehicle Registration Issues,38.9085741076,-77.0159080515,
2015-04-02,Parking Meter Repair,38.8956142897,-76.9487611373,
2015-04-02,Parking Meter Repair,38.8853197815,-77.020912973,
2015-04-02,Pothole,38.9738655657,-77.0669788777,20015.0
2015-04-02,DMV - Copy of Ticket,38.9127909044,-77.030471596,20009.0
2015-04-02,Bulk Collection,38.9076674512,-76.9865065291,20002.0
2015-04-02,Parking Meter Repair,38.8853197815,-77.020912973,
2015-04-02,Street Repair,38.8937217471,-77.0018529939,20002.0
2015-04-02,Parking Meter Repair,38.9137067426,-77.0654597793,
2015-04-02,Parking Meter Repair,38.8961295308,-77.0156829608,
2015-04-02,Pothole,38.8897824122,-76.945902694,
2015-04-02,Bulk Collection,38.9418949935,-76.9829733499,20017.0
2015-04-02,Pothole,38.9554974789,-77.0689815456,
2015-04-02,Parking Meter Repair,38.8858214961,-76.9989829024,
2015-04-02,Parking Meter Repair,38.9007649594,-77.0382801379,
2015-04-02,Bulk Collection,38.8569682433,-76.9580250002,20020.0
2015-04-02,DMV - Vehicle Title Issues,38.9490413282,-77.0189508521,20011.0
2015-04-02,DMV - Driver's License/ID Issues,38.9713129977,-77.0246599399,20012.0
2015-04-02,Alley Cleaning,38.9127985995,-77.0303255109,20009.0
2015-04-02,Parking Meter Repair,38.9046967679,-77.0365369725,
2015-04-02,Sidewalk Repair,38.9307367186,-77.0390428694,20010.0
2015-04-02,Sidewalk Repair,38.9307367186,-77.0390428694,20010.0
2015-04-02,Placement Violations,38.90590736,-77.0145776849,20001.0
2015-04-02,Alley Cleaning,38.9281071476,-77.02710643,20001.0
2015-04-02,Parking Meter Repair,38.9010114246,-77.0457763388,
2015-04-02,DPW Correspondence Tracking,38.8644082944,-76.9493823625,20020.0
2015-04-02,Parking Enforcement,38.9028168821,-77.0264372656,20001.0
2015-04-02,Parking Meter Repair,38.9037310251,-77.0031749151,
2015-04-02,Bulk Collection,38.9138486595,-77.0093457605,20002.0
2015-04-02,DMV - Vehicle Title Issues,38.8983148287,-77.0405870845,
2015-04-02,Parking Enforcement,38.8325612924,-77.0089972651,
2015-04-02,Pothole,38.9647639367,-77.0266162475,20011.0
2015-04-02,Alleylight Repair Investigation,38.9332129578,-77.0375587023,20010.0
2015-04-02,Alley Cleaning,38.8991174776,-76.9814962112,20002.0
2015-04-02,Curb and Gutter Repair,38.9307452232,-77.038661357,20010.0
2015-04-02,Parking Meter Repair,38.8998163026,-77.0275578443,
2015-04-02,Graffiti Removal,38.9305154405,-77.0386031054,20010.0
2015-04-02,Bulk Collection,38.9330349075,-77.0371393645,20010.0
2015-04-02,Graffiti Removal,38.9307452232,-77.038661357,20010.0
2015-04-02,Emergency No-Parking Verification,38.9021909289,-77.0273316489,20005.0
2015-04-02,DPW Correspondence Tracking,38.8877578876,-76.9824266718,20003.0
2015-04-02,Parking Meter Repair,38.8961295308,-77.0156829608,
2015-04-02,DMV - Copy of Ticket,38.9011242728,-77.0389915001,20006.0
2015-04-02,Parking Meter Repair,38.9078009189,-77.065673823,
2015-04-02,Parking Enforcement,38.9240626703,-76.9695454984,20018.0
2015-04-02,Bulk Collection,38.9730565827,-77.0670548584,20015.0
2015-04-02,Parking Meter Repair,38.9061031286,-77.0385001966,
2015-04-02,Bulk Collection,38.9676885292,-77.0111488885,20011.0
2015-04-02,Bulk Collection,38.9818005036,-77.0544000609,20015.0
2015-04-02,Parking Meter Repair,38.9019286791,-77.0270374026,
2015-04-02,Parking Meter Repair,38.9026869299,-77.063335155,
2015-04-02,Trash Collection - Missed,38.9197778726,-77.078128636,20007.0
2015-04-02,Bulk Collection,38.94384467,-77.0241188925,20011.0
2015-04-02,Parking Meter Repair,38.950203754,-77.080311702,
2015-04-02,Pothole,38.9544741694,-77.0710379496,20008.0
2015-04-02,Parking Meter Repair,38.9068054658,-77.062130436,
2015-04-02,Parking Enforcement,38.8864119326,-76.9550952889,20019.0
2015-04-02,Traffic Signal Maintenance,38.963125783,-77.027410978,20011.0
2015-04-02,Pothole,38.9544741694,-77.0710379496,20008.0
2015-04-02,Parking Meter Repair,38.9056463628,-77.0334910176,
2015-04-02,Parking Enforcement,38.8644082944,-76.9493823625,20020.0
2015-04-02,Streetlight Repair Investigation,38.8770127123,-76.9658692171,20019.0
2015-04-02,Pothole,38.9155649232,-77.0020284823,
2015-04-02,DMV - Driver's License/ID Issues,38.9166241177,-77.0173219187,20001.0
