SERVICEORDERDATE,SERVICECODEDESCRIPTION,LATITUDE,LONGITUDE,ZIPCODE
2015-11-05,Alley Cleaning,38.91309548,-77.00808505,20002.0
2015-11-05,Parking Enforcement,38.90695503,-77.02518337,20001.0
2015-11-05,Abandoned Vehicle - On Public Property,38.9026380112,-76.9899420868,
2015-11-05,Alley Cleaning,38.93069797,-77.02536902,20010.0
2015-11-05,Parking Enforcement,38.93350971,-77.03486645,20010.0
2015-11-05,Sanitation Enforcement,38.91550283,-77.01864952,20001.0
2015-11-05,Parking Meter Repair,38.8828392111,-76.9892778407,
2015-11-05,Bulk Collection,38.89692031,-76.94204624,20019.0
2015-11-05,Alley Cleaning,38.92283681,-77.00179678,20002.0
2015-11-05,Street Cleaning,38.93300666,-77.02833558,20010.0
2015-11-05,Parking Enforcement,38.93321286,-77.02942477,20010.0
2015-11-05,Alley Cleaning,38.91499437,-77.01826311,20001.0
2015-11-05,Sign New Investigation,38.92283681,-77.00179678,20002.0
2015-11-05,Parking Meter Repair,38.90292621,-77.03052064,20005.0
2015-11-05,Parking Enforcement,38.91394033,-77.01866652,20001.0
2015-11-05,Street Cleaning,38.93402854,-77.03122252,20010.0
2015-11-05,Dead Animal Collection,38.93143442,-76.97393145,20018.0
2015-11-05,Abandoned Vehicle - On Public Property,38.93092133,-76.99995986,20017.0
2015-11-05,Illegal Dumping,38.89596973,-76.99240923,20002.0
2015-11-05,Streetlight Repair Investigation,38.8886771445,-77.0020362474,
2015-11-05,Graffiti Removal,38.9159893598,-77.046345079,
2015-11-05,Sidewalk Repair,38.92577904,-76.96477936,20018.0
2015-11-05,DMV - Drivers License/ID Issues,38.94308686,-77.00458546,20011.0
2015-11-05,Trash Collection - Missed,38.9240688,-77.05090101,20008.0
2015-11-05,Parking Enforcement,38.9309194,-77.0291859,20010.0
2015-11-05,Public Space Litter Can- Installation/Removal/Repair,38.9085690693,-77.0151767291,
2015-11-05,Bulk Collection,38.92321666,-76.96432569,20018.0
2015-11-05,Bulk Collection,38.90546154,-77.01949348,20001.0
2015-11-05,Residential Parking Permit Violation,38.95069513,-77.00840922,20011.0
2015-11-05,Parking Meter Repair,38.8868057784,-77.017550783,
2015-11-05,Sidewalk Repair,38.92701166,-76.96221668,20018.0
2015-11-05,Abandoned Vehicle - On Public Property,38.95069513,-77.00840922,20011.0
2015-11-05,Trash Collection - Missed,38.9240688,-77.05090101,20008.0
2015-11-05,Street Cleaning,38.9085690693,-77.0151767291,
2015-11-05,Alleylight Repair,38.85095889,-76.96421757,20020.0
2015-11-05,Parking Enforcement,38.90585185,-77.02214148,20001.0
2015-11-05,Bulk Collection,38.88679334,-76.91807783,20019.0
2015-11-05,Sidewalk Repair,38.92701166,-76.96221668,20018.0
2015-11-05,Parking Enforcement,38.88775825,-76.99403472,20003.0
2015-11-05,Alleylight Repair,38.87009645,-76.94688456,20020.0
